Aircraft Name
Military aircraft
Dassault Rafale
Dassault Rafale
HAL Tejas
Trainer aircraft
Multirole combat aircraft
Sukhoi Su-30MKI
Mikoyan MiG-29
Mikoyan MiG-29
Dassault Mirage 2000
Dassault Mirage 2000
SEPECAT Jaguar
SEPECAT Jaguar
SEPECAT Jaguar
Mikoyan-Gurevich MiG-21
Airborne early warning and control
Embraer R-99
Beriev A-50
Reconnaissance aircraft
Boeing 707
Bombardier Global Express
Gulfstream III
Gulfstream G100
Aerial refueling
Ilyushin Il-78
Military transport aircraft
Boeing 777
Boeing 737
Embraer Legacy 600
Boeing C-17 Globemaster III
Ilyushin Il-76
Lockheed Martin C-130J Super Hercules
Airbus A321
Antonov An-32
EADS CASA C-295
Hawker Siddeley HS 748
Dornier 228
Helicopters
Boeing AH-64 Apache
Mil Mi-24
HAL Light Combat Helicopter
HAL Rudra
Boeing CH-47 Chinook
Mil Mi-17
HAL Dhruv
HAL Light Utility Helicopter
Aérospatiale Alouette III
HAL Cheetal
Aérospatiale SA 315B Lama
Trainer (aircraft)
BAE Systems Hawk
HAL Kiran
HAL HTT-40
Pilatus PC-7
Pipistrel Virus
Unmanned aerial vehicle
IAI Heron
IAI Heron
General Atomics MQ-9 Reaper
IAI Searcher
Loitering munition
Loitering munition
Helicopters
Boeing AH-64 Apache
HAL Prachand
HAL Rudra
HAL Dhruv
Aérospatiale Alouette III
Aérospatiale SA 315B Lama
Unmanned aerial vehicle
Drishti-10
IAI Heron
IAI Eitan
IAI Heron
IAI Searcher
General Atomics MQ-9 Reaper
India
India
India
India
Military aircraft
MiG-29
Maritime patrol aircraft
Boeing P-8 Poseidon
Dornier Do 228
Britten-Norman BN-2 Islander
Helicopters
HAL Dhruv
Kamov Ka-31
Kamov Ka-27
Sikorsky SH-60 Seahawk
Westland Sea King
HAL Chetak
Trainer (aircraft)
Pipistrel Virus
BAE Systems Hawk
HAL Kiran
Unmanned aerial vehicle
IAI Heron
IAI Searcher
General Atomics MQ-9 Reaper
Drishti-10
Maritime patrol aircraft
Dornier Do 228
Helicopters
HAL Dhruv
HAL Chetak
